"AmazonIpad_name","AmazonIpad_url","AmazonIpad_Price","AmazonIpad_Review","AmazonIpad_Getitby"
"[Sponsored]
Apple iPad 6th Gen 128GB (2018 Model) with Saiborie $49.99 Value Accessories, Wi-Fi Only, 9.7'' Retina Display, A10 Fusion chip, Touch ID, Apple Pay, Night Shift (Space Gray)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0386380242X9KOBMPEHC&url=https%3A%2F%2Fwww.amazon.com%2FApple-Saiborie-Accessories-Retina-Display%2Fdp%2FB07C2Q3VTG%2Fref%3Dsr_1_1_sspa%2F147-6626607-4408562%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116260%26sr%3D1-1-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116260&id=1246014817965555&widgetName=sp_atf","$ 489 99","5 out of 5 stars","Wed, Oct 24"
"[Sponsored]
Apple iPad Mini MD528LL/A 16GB WiFi 7.9"", Black (Certified Refurbished)","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_2?ie=UTF8&adId=A092703426QDIACDH6FJ5&url=https%3A%2F%2Fwww.amazon.com%2FApple-MD528LL-Black-Certified-Refurbished%2Fdp%2FB076ZBXTCS%2Fref%3Dsr_1_2_sspa%2F147-6626607-4408562%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116260%26sr%3D1-2-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116260&id=1246014817965555&widgetName=sp_atf","$ 124 99","3.4 out of 5 stars","Wed, Oct 24"
"Apple iPad 2 MC769LL/A 9.7-Inch 16GB (Black) 1395 - (Certified Refurbished)","https://www.amazon.com/Apple-iPad-MC769LL-9-7-Inch-Black/dp/B006PLODWE/ref=sr_1_3/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-3&keywords=ipad","$ 84 00","3.4 out of 5 stars","Wed, Oct 24"
"Apple iPad with WiFi, 128GB, Space Gray (2018 Model)","https://www.amazon.com/Apple-iPad-128GB-Space-Model/dp/B07BTS6H4W/ref=sr_1_4/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-4&keywords=ipad","$ 423 80","4.7 out of 5 stars",""
"Apple iPad with Retina Display MD510LL/A (16GB, Wi-Fi, Black) 4th Generation (Certified Refurbished)","https://www.amazon.com/Apple-Display-Generation-Certified-Refurbished/dp/B00OD01MLY/ref=sr_1_5/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-5&keywords=ipad","$ 105 74","3.8 out of 5 stars","Tue, Oct 23"
"Apple iPad with WiFi, 32GB, Gold (2017 Model)","https://www.amazon.com/Apple-iPad-WiFi-32GB-Model/dp/B01LTIORCI/ref=sr_1_6/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-6&keywords=ipad","$ 305 00","4.7 out of 5 stars",""
"Apple iPad Air A1474 16GB, Wi-Fi - space gray (Certified Refurbished)","https://www.amazon.com/Apple-iPad-A1474-16GB-Wi-Fi/dp/B00M4L4MFC/ref=sr_1_7/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-7&keywords=ipad","$ 148 99","3.9 out of 5 stars","Tue, Oct 23"
"Apple iPad Air MD785LL/B (16GB, Wi-FI, Black with Space Gray)","https://www.amazon.com/Apple-MD785LL-Wi-FI-Black-Space/dp/B018KXK652/ref=sr_1_8/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-8&keywords=ipad","$ 289 99","4.4 out of 5 stars","Tue, Oct 23"
"Apple iPad 9.7"" with WiFi 32GB- Space Gray (2017 Model)(Certified Refurbished)","https://www.amazon.com/Apple-32GB-Space-Certified-Refurbished/dp/B074PWW6NS/ref=sr_1_9/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-9&keywords=ipad","","4.4 out of 5 stars",""
"Apple iPad 3 Retina Display Tablet 16GB, Wi-Fi, Black (Certified Refurbished)","https://www.amazon.com/Apple-Retina-Display-Certified-Refurbished/dp/B00D8GJX2E/ref=sr_1_10/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-10&keywords=ipad","$ 99 99","3.4 out of 5 stars","Tue, Oct 23"
"Apple iPad Air 2, 64 GB, Space Gray, (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Space-Certified-Refurbished/dp/B00TREI0F2/ref=sr_1_11/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-11&keywords=ipad","$ 227 00","4 out of 5 stars","Tue, Oct 23"
"Apple iPad Mini 4 (128GB, Wi-Fi, Space Gray)","https://www.amazon.com/Apple-iPad-128GB-Wi-Fi-Space/dp/B016PW4NX6/ref=sr_1_12/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-12&keywords=ipad","","4.4 out of 5 stars",""
"Apple iPad with Retina Display MD513LL/A (16GB, Wi-Fi, White) 4th Generation (Certified Refurbished)","https://www.amazon.com/Apple-Display-Generation-Certified-Refurbished/dp/B00OD01MO6/ref=sr_1_13/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-13&keywords=ipad","$ 119 98","3.9 out of 5 stars","Tue, Oct 23"
"[Sponsored]
reMarkable - the Paper Tablet - 10.3"" Digital Notepad and E-reader, Ultra Low Latency Glare-free Touchscreen Display, Wi-Fi, June 2018 Software","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_2?ie=UTF8&adId=A0860092371YFMA05CYZ2&url=https%3A%2F%2Fwww.amazon.com%2FreMarkable-reader-Glare-free-Touchscreen-Software%2Fdp%2FB077NSWLH2%2Fref%3Dsr_1_15_sspa%2F147-6626607-4408562%3Fs%3Dpc%26ie%3DUTF8%26qid%3D1540116260%26sr%3D1-15-spons%26keywords%3Dipad%26psc%3D1&qualifier=1540116260&id=1246014817965555&widgetName=sp_mtf","$ 599 00","4.1 out of 5 stars","Tue, Oct 23"
"Apple iPad Air 2 MH1J2LL/A 9.7-Inch, 128GB (Gold)","https://www.amazon.com/Apple-iPad-MH1J2LL-9-7-Inch-128GB/dp/B00OTWQIZG/ref=sr_1_16/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-16&keywords=ipad","$ 366 50","4.6 out of 5 stars","Tue, Oct 23"
"Apple iPad 2 MC769LL/A - 16GB - 2nd Generation (Black) - Tablet with Skin (Certified Refurbished)","https://www.amazon.com/Apple-iPad-MC769LL-Generation-Refurbished/dp/B01NBAZWEJ/ref=sr_1_17/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-17&keywords=ipad","$ 79 99","3.6 out of 5 stars","Wed, Oct 24"
"Apple iPad Mini FD528LL/A - MD528LL/A (16GB, Wi-Fi, Black) (Certified Refurbished)","https://www.amazon.com/Apple-iPad-Mini-FD528LL-Refurbished/dp/B00M4L4JZK/ref=sr_1_18/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-18&keywords=ipad","$ 98 99","3.5 out of 5 stars","Wed, Oct 24"
"Apple Refurbished iPad Air 2 - 128GB - Gold (Certified Refurbished)","https://www.amazon.com/Apple-Refurbished-iPad-Air-Certified/dp/B07G3D7G89/ref=sr_1_19/147-6626607-4408562?s=pc&ie=UTF8&qid=1540116260&sr=1-19&keywords=ipad","$ 300 99","4.6 out of 5 stars","Tue, Oct 23"
